sweep,x_name,x_value,control_variate_price,antithetic_cv_price,rqmc_bridge_price
strike,K,70.0,31.004619607078567,31.002748516344738,31.002345072224536
strike,K,72.0,29.103572802009538,29.10142087831854,29.10156463964779
strike,K,74.0,27.204503018822685,27.202246540310504,27.202608690542117
strike,K,76.0,25.308912468535098,25.306711048376574,25.3076386846437
strike,K,78.0,23.420922446137794,23.419110840879775,23.419315905900433
strike,K,80.0,21.544642177221952,21.54292848165578,21.542467482824527
strike,K,82.0,19.687686988043318,19.685880781244315,19.68436459439654
strike,K,84.0,17.85955156323724,17.85826559773934,17.85643284681364
strike,K,86.0,16.07109933230803,16.069703522228075,16.06904643921402
strike,K,88.0,14.336502718757632,14.335186053245048,14.336147492137053
strike,K,90.0,12.671485025086096,12.670157980438411,12.671440129978588
strike,K,92.0,11.090097599362856,11.088768937522248,11.089491418951635
strike,K,94.0,9.607290608202742,9.606025823120024,9.605837625532347
strike,K,96.0,8.234532216728441,8.233595486138828,8.233402623383508
strike,K,98.0,6.9816941991111525,6.981081770045201,6.979656910954144
strike,K,100.0,5.854621933537291,5.854400938840957,5.852628619436322
strike,K,102.0,4.855450903113592,4.855005021385414,4.853996729247324
strike,K,104.0,3.9824457688043386,3.981693745352098,3.9821548715064923
strike,K,106.0,3.231396997785833,3.230211024578443,3.2309994449335324
strike,K,108.0,2.5928526172960593,2.592018804439851,2.5927582679853187
strike,K,110.0,2.0593061315374923,2.0584922407000485,2.057514664049422
strike,K,112.0,1.6187966914388179,1.6176860588691042,1.6170844007693954
strike,K,114.0,1.2600496325173831,1.258667441043481,1.2584218622954384
strike,K,116.0,0.9714622803230393,0.9696941595462594,0.9704072889882152
strike,K,118.0,0.7415592956203396,0.7404465774263473,0.7407644082465653
strike,K,120.0,0.560541957043947,0.5599942370078201,0.558619516771961
strike,K,122.0,0.4197309741340698,0.41874942767767365,0.41763633188466454
strike,K,124.0,0.31136841593765036,0.31062410510216576,0.3113517804464737
strike,K,126.0,0.2296249880098069,0.22958122252689966,0.22934408995872219
strike,K,128.0,0.16827930670355548,0.1682252786677974,0.16752420271544516
strike,K,130.0,0.1218674957944737,0.1219145185712898,0.12096555437264161
sigma,sigma,0.05,2.765232616665358,2.765147721044487,2.7653204006607024
sigma,sigma,0.07500000000000001,3.2046542572620647,3.2045368805987837,3.2045650015708134
sigma,sigma,0.1,3.702334371441523,3.7022143212392287,3.701810690556037
sigma,sigma,0.125,4.225667525363871,4.225456768522612,4.224721074741966
sigma,sigma,0.15000000000000002,4.762049246550676,4.761833655550606,4.760993640194405
sigma,sigma,0.175,5.305958195319375,5.3058217491582145,5.304411910100074
sigma,sigma,0.2,5.854621933537291,5.854400938840957,5.852628619436322
sigma,sigma,0.22500000000000003,6.406365431551716,6.405965685374608,6.403468120223037
sigma,sigma,0.25,6.9598781212693615,6.959359818155906,6.956320499579566
sigma,sigma,0.275,7.514531214734328,7.513691750569601,7.510563660336964
sigma,sigma,0.3,8.069988520479068,8.069016769879536,8.065631676557778
sigma,sigma,0.325,8.625928610141182,8.624822051848076,8.621200503483921
sigma,sigma,0.35000000000000003,9.182025447213139,9.180805781184638,9.17684262121307
sigma,sigma,0.375,9.738128397930675,9.736808352359345,9.732302799259358
sigma,sigma,0.4,10.294269871699772,10.292523455758232,10.287438218360709
sigma,sigma,0.425,10.849873859530064,10.847605243829108,10.842276556535865
sigma,sigma,0.45,11.404949258901382,11.402141354634217,11.396445122523161
sigma,sigma,0.47500000000000003,11.959421752864873,11.95614845688857,11.950010544531217
sigma,sigma,0.5,12.51320703008675,12.509254123180794,12.502830804515856
sigma,sigma,0.525,13.066491237236175,13.062048636045516,13.054624036430047
sigma,sigma,0.55,13.618978628543243,13.614210198114087,13.605559140087443
sigma,sigma,0.5750000000000001,14.170565611959322,14.165493336950522,14.155630778053224
sigma,sigma,0.6000000000000001,14.721437771586642,14.715822469353727,14.70499175745033
sigma,sigma,0.6250000000000001,15.271539312062119,15.265199276399958,15.25331574276375
sigma,sigma,0.6500000000000001,15.82052709610079,15.813581986705568,15.80033515936178
sigma,sigma,0.675,16.36826020953979,16.361057936888017,16.34597545421245
sigma,sigma,0.7000000000000001,16.914798029830227,16.90751397522811,16.890231068230193
sigma,sigma,0.7250000000000001,17.46024344991748,17.452757702809883,17.43312075535058
sigma,sigma,0.7500000000000001,18.004457894694028,17.996751923891892,17.97448375494925
sigma,sigma,0.7750000000000001,18.5476113297194,18.539409957139235,18.514341271660797
sigma,sigma,0.8,19.089283955145028,19.080532074630295,19.05270688829049
